adduser|3.115
libglvnd0|1.1.0-1~bpo9+1
libglx-mesa0|18.2.8-2~bpo9+1
libglx0|1.1.0-1~bpo9+1
libgme0|0.6.0-4
libgmp10|2:6.1.2+dfsg-1
libgnutls30|3.5.8-5+deb9u4
libgomp1|6.3.0-18+deb9u1
libgpg-error0|1.26-2
libgpm2|1.20.4-6.2+b1
libgraphite2-3|1.3.10-1
libgsm1|1.0.13-4+b2
libgssapi-krb5-2|1.15-1+deb9u1
libgstreamer-plugins-base1.0-0|1.10.4-1+deb9u1
libgstreamer1.0-0|1.10.4-1
libgtk-3-0|3.22.11-1
libgtk-3-common|3.22.11-1
libgtk2.0-0|2.24.31-2
libgtk2.0-common|2.24.31-2
libgts-0.7-5|0.7.6+darcs121130-4
libgudev-1.0-0|230-3
libgvc6|2.38.0-17
libgvpr2|2.38.0-17
libharfbuzz-icu0|1.4.2-1
libharfbuzz0b|1.4.2-1
libhogweed4|3.3-1+b2
libhunspell-1.4-0|1.4.1-2+b2
libhwloc5|1.11.12-1~bpo9+1
libice6|2:1.0.9-2
libicu57|57.1-6+deb9u2
libid3tag0|0.15.1b-12
libidn11|1.33-1
libidn2-0|0.16-1+deb9u1
libiec61883-0|1.2.0-2
libilbc2|2.0.2-dmo4
libilmbase12|2.2.0-12
libimlib2|1.4.8-1
libindicator3-7|0.5.0-3+b1
libindicator7|0.5.0-3+b1
libinput-bin|1.6.3-1
libinput10|1.6.3-1
libip4tc0|1.6.0+snapshot20161117-6
libip6tc0|1.6.0+snapshot20161117-6
libiptc0|1.6.0+snapshot20161117-6
libisc-export160|1:9.10.3.dfsg.P4-12.3+deb9u4
libisl15|0.18-1
libisoburn1|1.4.6-1+b1
libisofs6|1.4.6-1
libitm1|6.3.0-18+deb9u1
libiw30|30~pre9-12+b1
libjack-jackd2-0|1.9.10+20150825git1ed50c92~dfsg-5
libjavascriptcoregtk-3.0-0|2.4.11-3
libjbig0|2.1-3.1+b2
libjemalloc1|3.6.0-9.1
libjpeg62-turbo|1:1.5.1-2
libjson-glib-1.0-0|1.2.6-1
libjson-glib-1.0-common|1.2.6-1
libjsoncpp1|1.7.4-3
libjte1|1.20-2+b1
libk5crypto3|1.15-1+deb9u1
libkeyutils1|1.5.9-9
libklibc|2.0.4-9
libkmod2|23-2
libkrb5-3|1.15-1+deb9u1
libkrb5support0|1.15-1+deb9u1
libksba8|1.3.5-2
libkvazaar3|1:1.1.0-dmo1
liblapack3|3.7.0-2
liblcms2-2|2.8-4+deb9u1
libldap-2.4-2|2.4.47+dfsg-3~bpo9+1
libldap-common|2.4.47+dfsg-3~bpo9+1
liblept5|1.74.1-1
libllvm3.9|1:3.9.1-9
libllvm6.0|1:6.0-1~bpo9+1
liblocale-gettext-perl|1.07-3+b1
liblog4cplus-1.1-9|1.1.2-3.2
liblogging-stdlog0|1.0.5-2+b2
liblognorm5|2.0.1-1.1+b1
liblsan0|6.3.0-18+deb9u1
libltdl7|2.4.6-2
liblua5.1-0|5.1.5-8.1+b2
liblua5.2-0|5.2.4-1.1+b2
liblz4-1|0.0~r131-2+b1
liblzma5|5.2.2-1.2+b1
liblzo2-2|2.08-1.2+b2
libmagic-mgc|1:5.30-1+deb9u2
libmagic1|1:5.30-1+deb9u2
libmaxminddb0|1.2.0-1+b1
libmfx0|1.21-dmo1
libminiupnpc10|1.9.20140610-4
libmng1|1.0.10+dfsg-3.1+b5
libmnl0|1.0.4-2
libmount1|2.29.2-1+deb9u1
libmp3lame0|1:3.99.5-dmo6
libmpc3|1.0.3-1+b2
libmpdec2|2.4.2-1
libmpfr4|3.1.5-1
libmpg123-0|1.23.8-1+b1
libmpx2|6.3.0-18+deb9u1
libmtdev1|1.1.5-1+b1
libmtp-common|1.1.13-1
libmtp9|1.1.13-1
libnatpmp1|20110808-4+b1
libncurses5|6.0+20161126-1+deb9u2
libncursesw5|6.0+20161126-1+deb9u2
libnetfilter-conntrack3|1.0.6-2
libnettle6|3.3-1+b2
libnewt0.52|0.52.19-1+b1
libnfnetlink0|1.0.1-3
libnghttp2-14|1.18.1-1
libnl-3-200|3.4.0-1~bpo9+1
libnl-genl-3-200|3.4.0-1~bpo9+1
libnotify4|0.7.7-2
libnpth0|1.3-1
libnspr4|2:4.12-6
libnss3|2:3.26.2-1.1+deb9u1
libntfs-3g871|1:2016.2.22AR.1+dfsg-1+deb9u1
libnuma1|2.0.11-2.1
libnvpair1linux|0.7.12-1~bpo9+1
libogg0|1.3.2-1
libopenal-data|1:1.17.2-4
libopenal1|1:1.17.2-4+b2
libopencolorio1v5|1.0.9~dfsg0-6+b2
libopencore-amrnb0|0.1.3-2.1+b2
libopencore-amrwb0|0.1.3-2.1+b2
libopencv-core2.4v5|2.4.9.1+dfsg1-2
libopencv-highgui2.4-deb0|2.4.9.1+dfsg1-2
libopencv-imgproc2.4v5|2.4.9.1+dfsg1-2
libopenexr22|2.2.0-11+b1
libopenh264-2|1.6.0-dmo3
libopenimageio1.6|1.6.17~dfsg0-1+b2
libopenjp2-7|2.1.2-1.1+deb9u3
libopenmpt0|0.2.7386~beta20.3-3+deb9u3
libopenvdb3.2|3.2.0-2.1
libopts25|1:5.18.12-3
libopus0|1.2~alpha2-1
liborc-0.4-0|1:0.4.26-2
libp11-kit0|0.23.3-2
libpam-modules|1.1.8-3.6
libpam-modules-bin|1.1.8-3.6
libpam-runtime|1.1.8-3.6
libpam-systemd|232-25+deb9u11
libpam0g|1.1.8-3.6
libpango-1.0-0|1.40.5-1
libpangocairo-1.0-0|1.40.5-1
libpangoft2-1.0-0|1.40.5-1
libparted2|3.2-17
libpathplan4|2.38.0-17
libpcap0.8|1.8.1-3
libpci3|1:3.5.2-1
libpciaccess0|0.13.4-1+b2
libpcre16-3|2:8.39-3
libpcre2-8-0|10.22-3
libpcre3|2:8.39-3
libpcsclite1|1.8.20-1
libperl5.24|5.24.1-3+deb9u5
libpipeline1|1.4.1-2
libpixman-1-0|0.34.0-1
libpng16-16|1.6.28-1+deb9u1
libpolkit-agent-1-0|0.105-18+deb9u1
libpolkit-gobject-1-0|0.105-18+deb9u1
libpoppler64|0.48.0-2+deb9u2
libpopt0|1.16-10+b2
libpostproc54|10:3.3.9-dmo1+deb9u1
libprocps6|2:3.3.12-3+deb9u1
libproxy1v5|0.4.14-2
libpsl5|0.17.0-3
libpulse0|10.0-1+deb9u1
libpwquality-common|1.3.0-1
libpwquality1|1.3.0-1+b1
libpython-stdlib|2.7.13-2
libpython2.7-minimal|2.7.13-2+deb9u3
