adduser|3.115
mariadb-server|1:10.3.15+maria~stretch
mariadb-server-10.3|1:10.3.15+maria~stretch
mariadb-server-core-10.3|1:10.3.15+maria~stretch
mawk|1.3.3-17+b3
menu|2.1.47+b1
mime-support|3.60
module-assistant|0.11.9
mount|2.29.2-1+deb9u1
mpv|1:0.27.2-dmo1+deb9u1
multiarch-support|2.24-11+deb9u4
mysql-common|1:10.3.15+maria~stretch
nano|2.7.4-1
ncurses-base|6.0+20161126-1+deb9u2
ncurses-bin|6.0+20161126-1+deb9u2
net-tools|1.60+git20161116.90da8a0-1
net.downloadhelper.coapp|1.2.4
netbase|5.4
ntfs-3g|1:2016.2.22AR.1+dfsg-1+deb9u1
ntp|1:4.2.8p10+dfsg-3+deb9u2
numlockx|1.2-7+b2
openjdk-8-jdk|8u212-b01-1~deb9u1
openjdk-8-jdk-headless|8u212-b01-1~deb9u1
openjdk-8-jre|8u212-b01-1~deb9u1
openjdk-8-jre-headless|8u212-b01-1~deb9u1
openssl|1.1.0j-1~deb9u1
openttd|1.6.1-1+b1
openttd-data|1.6.1-1
openttd-opengfx|0.5.4-1
openttd-openmsx|0.3.1-4
openttd-opensfx|0.2.3-4
p7zip|16.02+dfsg-3+deb9u1
parted|3.2-17
passwd|1:4.4-4.1
patch|2.7.5-1+deb9u1
pciutils|1:3.5.2-1
perl|5.24.1-3+deb9u5
perl-base|5.24.1-3+deb9u5
perl-modules-5.24|5.24.1-3+deb9u5
php|1:7.0+49
php-common|1:49
php-curl|1:7.0+49
php-gd|1:7.0+49
php-mbstring|1:7.0+49
php-mysql|1:7.0+49
php-xml|1:7.0+49
php-zip|1:7.0+49
php7.0|7.0.33-0+deb9u3
php7.0-cli|7.0.33-0+deb9u3
php7.0-common|7.0.33-0+deb9u3
php7.0-curl|7.0.33-0+deb9u3
php7.0-gd|7.0.33-0+deb9u3
php7.0-json|7.0.33-0+deb9u3
php7.0-mbstring|7.0.33-0+deb9u3
php7.0-mysql|7.0.33-0+deb9u3
php7.0-opcache|7.0.33-0+deb9u3
php7.0-readline|7.0.33-0+deb9u3
php7.0-xml|7.0.33-0+deb9u3
php7.0-zip|7.0.33-0+deb9u3
pinentry-curses|1.0.0-2
pngcrush|1.7.85-1+b2
pngquant|2.5.0-2
poppler-utils|0.48.0-2+deb9u2
procps|2:3.3.12-3+deb9u1
psmisc|22.21-2.1+b2
pv|1.6.0-1+b1
python|2.7.13-2
python-cairo|1.8.8-2.2
python-dbus|1.2.4-1+b1
python-gi|3.22.0-2
python-glade2|2.24.0-5.1
python-gobject|3.22.0-2
python-gobject-2|2.28.6-13
python-gtk2|2.24.0-5.1
python-minimal|2.7.13-2
python-numpy|1:1.12.1-3
python-pip|9.0.1-2+deb9u1
python-pip-whl|9.0.1-2+deb9u1
python-wicd|1.7.4+tb2-5~deb9u1
python2.7|2.7.13-2+deb9u3
python2.7-minimal|2.7.13-2+deb9u3
python3|3.5.3-1
python3-dev|3.5.3-1
python3-minimal|3.5.3-1
python3-pip|9.0.1-2+deb9u1
python3.5|3.5.3-1+deb9u1
python3.5-dev|3.5.3-1+deb9u1
python3.5-minimal|3.5.3-1+deb9u1
qalc|0.9.7-9.2
qalculate-gtk|0.9.7-6+b1
qtcore4-l10n|4:4.8.7+dfsg-11
rake|10.5.0-2
rar|2:5.4.0+dfsg.1-0.1
readline-common|7.0-3
reaver|1.4-2+b2
rename|0.20-4
rfkill|0.5-1+b1
rsync|3.1.2-1+deb9u2
rsyslog|8.24.0-1
ruby|1:2.3.3
ruby-did-you-mean|1.0.0-2
ruby-minitest|5.9.0-1
ruby-net-telnet|0.1.1-2
ruby-power-assert|0.3.0-1
ruby-test-unit|3.1.7-2
ruby2.3|2.3.3-1+deb9u6
rubygems-integration|1.11
scite|3.7.2-1
sed|4.4-1
sensible-utils|0.0.9+deb9u1
shared-mime-info|1.8-1+deb9u1
simplescreenrecorder|0.3.8-2
smartmontools|6.5+svn4324-1
socat|1.7.3.1-2+deb9u1
spl-dkms|0.7.12-1~bpo9+1
sqlite3|3.27.2-2~bpo9+1
squashfs-tools|1:4.3-3+deb9u1
systemd|232-25+deb9u11
systemd-sysv|232-25+deb9u11
sysvinit-utils|2.88dsf-59.9
tar|1.29b-1.1
tasksel|3.39
tasksel-data|3.39
thunar|1.6.11-1
thunar-archive-plugin|0.3.1-4
thunar-data|1.6.11-1
thunar-volman|0.8.1-2
transmission-common|2.92-2+deb9u1
transmission-gtk|2.92-2+deb9u1
tree|1.7.0-5
tshark|2.6.7-1~deb9u1
tzdata|2019a-0+deb9u1
ucf|3.0036
udev|232-25+deb9u11
udevil|0.4.4-1+b1
udisks2|2.1.8-1
unrar|1:5.3.2-1+deb9u1
unzip|6.0-21+deb9u1
usbutils|1:007-4+b1
util-linux|2.29.2-1+deb9u1
vim-common|2:8.0.0197-4+deb9u1
vim-nox|2:8.0.0197-4+deb9u1
vim-runtime|2:8.0.0197-4+deb9u1
vim-tiny|2:8.0.0197-4+deb9u1
virtualbox-6.0|6.0.8-130520~Debian~stretch
volumeicon-alsa|0.5.1+git20170117-1~bpo9+1
wget|1.18-5+deb9u3
whiptail|0.52.19-1+b1
wicd|1.7.4+tb2-5~deb9u1
wicd-daemon|1.7.4+tb2-5~deb9u1
wicd-gtk|1.7.4+tb2-5~deb9u1
wireless-tools|30~pre9-12+b1
wireshark-common|2.6.7-1~deb9u1
wmctrl|1.07-7+b1
wpasupplicant|2:2.4-1+deb9u3
x11-common|1:7.7+19
x11-utils|7.7+3+b1
x11-xkb-utils|7.7+3+b1
x11-xserver-utils|7.7+7+b1
xauth|1:1.0.9-1+b2
xdg-utils|1.1.1-1+deb9u1
xdotool|1:3.20160805.1-3
xfce4-terminal|0.8.3-1
xfconf|4.12.1-1
xinit|1.3.4-3+b1
xkb-data|2.19-1+deb9u1
xorriso|1.4.6-1+b1
xserver-common|2:1.19.2-1+deb9u5
xserver-xorg|1:7.7+19
xserver-xorg-core|2:1.19.2-1+deb9u5
xserver-xorg-input-all|1:7.7+19
xserver-xorg-input-libinput|0.23.0-2
xserver-xorg-video-all|1:7.7+19
xserver-xorg-video-amdgpu|1.2.0-1+b1
xserver-xorg-video-ati|1:7.8.0-1+b1
xserver-xorg-video-fbdev|1:0.4.4-1+b5
xserver-xorg-video-nouveau|1:1.0.13-3
xserver-xorg-video-radeon|1:7.8.0-1+b1
xserver-xorg-video-vesa|1:2.3.4-1+b2
xserver-xorg-video-vmware|1:13.2.1-1+b1
xxd|2:8.0.0197-4+deb9u1
xz-utils|5.2.2-1.2+b1
zfs-dkms|0.7.12-1~bpo9+1
zfs-initramfs|0.7.12-1~bpo9+1
zfsutils-linux|0.7.12-1~bpo9+1
zip|3.0-11+b1
zlib1g|1:1.2.8.dfsg-5
