 inst-min-con-mtp-jmtpfs.sh; 8804; 00:00:00:01
 inst-std-accessories-calc-qalculate-gtk.sh; 10304; 00:00:00:03
 inst-min-con-01-apt-transport-https.sh; 10488; 00:00:00:06
 inst-std-system-network-wicd.sh; 11396; 00:00:00:05
 inst-xtra-geany.sh; 11700; 00:00:00:02
 inst-min-con-snd-alsa.sh; 11916; 00:00:00:02
 inst-xtra-graphviz.sh; 15860; 00:00:00:03
 inst-min-con-xtra-gnuplot-nox.sh; 17128; 00:00:00:05
 inst-min-con-xtra-php.sh; 18024; 00:00:00:14
 inst-min-con-02-locale.sh; 20180; 00:00:00:14
 inst-std-accessories-mupdf.sh; 24204; 00:00:00:02
 inst-std-graphic-xtra-gnuplot-x11.sh; 27776; 00:00:00:08
 inst-std-accessories-thunar.sh; 30364; 00:00:00:06
 inst-std-multimedia-mpv.sh; 31748; 00:00:00:06
 inst-std-system-monitor-switcher-lxrandr.sh; 32704; 00:00:00:03
 inst-min-con-xtra-cld-dev-tools-aptly.sh; 33016; 00:00:00:18
 inst-min-con-firmware-net-b43-installer.sh; 37728; 00:00:00:04
 inst-xtra-git.sh; 38168; 00:00:00:03
 inst-min-con-rename.sh; 49332; 00:00:00:03
 inst-min-con-xtra-apache2.sh; 51588; 00:00:00:21
 inst-xtra-games-openttd.sh; 52800; 00:00:00:05
 inst-xtra-eclipse-libwebkitgtk-3.0-0.sh; 60292; 00:00:00:16
 inst-min-win-xtra-fonts-asian.sh; 68160; 00:00:00:07
 inst-min-win-cld-dev-tools-pandoc.sh; 80388; 00:00:00:08
 inst-min-win-00-xorg.sh; 98780; 00:00:00:10
 inst-min-win-01-wm-jwm.sh; 110780; 00:00:00:27
 inst-std-inet-firefox-esr.sh; 159036; 00:00:00:12
 inst-min-con-xtra-default-jre-headless.sh; 160728; 00:00:00:11
 inst-min-con-firmware.sh; 165436; 00:00:01:50
 inst-xtra-wine64.sh; 223420; 00:00:00:13
 inst-std-graphic-xtra-gimp.sh; 236980; 00:00:00:23
 inst-xtra-virtualbox.sh; 260244; 00:00:00:15
 inst-xtra-zfs-dkms.sh; 285028; 00:00:10:44
 inst-std-inet-xtra-google-chrome.sh; 286456; 00:00:00:25
 inst-std-xtra-blender.sh; 305044; 00:00:00:18
 inst-min-con-xtra-mariadb-server.sh; 320168; 00:00:00:21
 inst-min-con-00-linux-image.sh; 343336; 00:00:00:46
 main.sh; 390100; 00:00:00:01
 inst-std-office-libreoffice.sh; 505264; 00:00:00:40
