home; inst-min-con-xtra-hd-hdparm.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 1892484K. Space Used = 428K. Runtime = 00:00:00:02.
home; inst-min-con-xtra-hd-smartmontools.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 1894792K. Space Used = 2308K. Runtime = 00:00:00:03.
home; inst-min-con-xtra-iso-iat.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 1894848K. Space Used = 56K. Runtime = 00:00:00:02.
home; inst-min-con-xtra-locate.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 1895420K. Space Used = 572K. Runtime = 00:00:00:02.
home; inst-min-con-xtra-macchanger.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 1896316K. Space Used = 896K. Runtime = 00:00:00:03.
home; inst-min-con-xtra-sqlite3.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 1900568K. Space Used = 4252K. Runtime = 00:00:00:04.
home; inst-min-win-00-00-xorg-fix.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 1900904K. Space Used = 336K. Runtime = 00:00:00:02.
home; inst-min-win-00-xorg.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 2001388K. Space Used = 100484K. Runtime = 00:00:01:00.
home; inst-min-win-01-basic-font.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 2001396K. Space Used = 8K. Runtime = 00:00:00:01.
home; inst-min-win-01-wm-jwm.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 2162596K. Space Used = 161200K. Runtime = 00:00:03:00.
home; inst-min-win-01-wm-terminal-xfce.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 2162604K. Space Used = 8K. Runtime = 00:00:00:00.
home; inst-min-win-cld-win-split.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 2164124K. Space Used = 1520K. Runtime = 00:00:00:07.
home; inst-min-win-jwm-help-manuals-text.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 2164164K. Space Used = 40K. Runtime = 00:00:00:01.
home; inst-min-win-jwm-keyboard-move-mouse.sh; 2019-01-02_17.58.35; CLDS: * Disk size = 2164180K. Space Used = 16K. Runtime = 00:00:00:00.
