 inst-min-con-live-build-tools.sh; 4472; 00:00:00:19
 inst-min-con-compressors.sh; 4524; 00:00:00:19
 inst-std-system-gnome-disk-utility.sh; 4728; 00:00:00:11
 inst-min-con-xtra-pdf-poppler-utils.sh; 5660; 00:00:00:04
 inst-min-con-numlock.sh; 6840; 00:00:00:12
 inst-min-con-firmware-cpu.sh; 7148; 00:00:00:57
 inst-std-accessories-scite.sh; 7612; 00:00:00:10
 inst-min-con-udevil.sh; 8024; 00:00:00:04
 inst-min-con-mtp-jmtpfs.sh; 8804; 00:00:00:12
 inst-std-accessories-calc-qalculate-gtk.sh; 10316; 00:00:00:08
 inst-min-con-01-apt-transport-https.sh; 10532; 00:00:00:22
 inst-min-con-snd-alsa.sh; 11904; 00:00:00:11
 inst-xtra-graphviz.sh; 15868; 00:00:00:11
 inst-min-con-xtra-gnuplot-nox.sh; 17148; 00:00:00:21
 inst-min-con-xtra-php.sh; 18024; 00:00:00:44
 inst-min-con-02-locale.sh; 20200; 00:00:00:20
 inst-std-accessories-thunar.sh; 30336; 00:00:00:50
 inst-min-con-xtra-cld-dev-tools-aptly.sh; 31828; 00:00:00:31
 inst-std-system-monitor-switcher-lxrandr.sh; 32700; 00:00:00:10
 inst-std-multimedia-xtra-sr-simplescreenrecorder.sh; 34980; 00:00:00:10
 inst-min-con-firmware-net-b43-installer.sh; 37728; 00:00:00:10
 inst-xtra-git.sh; 40512; 00:00:00:17
 inst-min-con-rename.sh; 49336; 00:00:00:28
 inst-min-con-xtra-apache2.sh; 51584; 00:00:00:31
 inst-xtra-games-openttd.sh; 53512; 00:00:00:13
 inst-min-win-xtra-default-jdk.sh; 55180; 00:00:00:24
 inst-min-con-xtra-vim-nox.sh; 67092; 00:00:00:55
 inst-min-win-xtra-fonts-asian.sh; 68156; 00:00:00:13
 inst-std-multimedia-mpv.sh; 70172; 00:00:00:56
 inst-xtra-eclipse-libwebkitgtk-3.0-0.sh; 78460; 00:00:00:24
 inst-std-system-network-wicd.sh; 78668; 00:00:00:52
 inst-std-inet-xtra-browser-plugin-downloadhelper-coapp.sh; 92224; 00:00:00:07
 inst-min-win-00-xorg.sh; 98800; 00:00:01:09
 inst-min-win-01-wm-jwm.sh; 110756; 00:00:02:52
 inst-xtra-ta-lib.sh; 133208; 00:00:02:45
 inst-xtra-zfs-dkms.sh; 136168; 00:00:13:43
 inst-min-con-xtra-default-jre-headless.sh; 160952; 00:00:00:30
 inst-min-con-xtra-py-python3-dev.sh; 161432; 00:00:00:58
 inst-min-con-firmware.sh; 181924; 00:00:01:59
 inst-std-inet-firefox-esr.sh; 205456; 00:00:00:13
 inst-std-inet-xtra-google-chrome.sh; 264332; 00:00:00:29
 inst-min-con-xtra-mariadb-server.sh; 321444; 00:00:00:49
 inst-min-con-00-linux-image.sh; 354356; 00:00:01:49
 inst-xtra-virtualbox.sh; 369604; 00:00:01:05
 main.sh; 927124; 00:00:00:00
