home; inst-min-win-xtra-fonts-asian.sh; 2019-01-02_17.58.35; 2287116; 68156; 00:00:00:10
home; inst-min-win-xtra-xdotool.sh; 2019-01-02_17.58.35; 2287448; 332; 00:00:00:03
home; inst-std-00-jwm-menu.sh; 2019-01-02_17.58.35; 2287452; 4; 00:00:00:01
home; inst-std-accessories-calc-qalculate-gtk.sh; 2019-01-02_17.58.35; 2297776; 10324; 00:00:00:08
home; inst-std-accessories-feh.sh; 2019-01-02_17.58.35; 2300172; 2396; 00:00:00:05
home; inst-std-accessories-gpicview.sh; 2019-01-02_17.58.35; 2300544; 372; 00:00:00:03
home; inst-std-accessories-mupdf.sh; 2019-01-02_17.58.35; 2325196; 24652; 00:00:00:06
home; inst-std-accessories-prtscr-gnome-screenshot.sh; 2019-01-02_17.58.35; 2326956; 1760; 00:00:00:06
home; inst-std-accessories-scite.sh; 2019-01-02_17.58.35; 2334580; 7624; 00:00:00:10
home; inst-std-accessories-thunar.sh; 2019-01-02_17.58.35; 2364932; 30352; 00:00:00:44
home; inst-std-font-fonts-liberation.sh; 2019-01-02_17.58.35; 2367900; 2968; 00:00:00:05
home; inst-std-graphic-gimp.sh; 2019-01-02_17.58.35; 2609988; 242088; 00:00:02:03
home; inst-std-graphic-gpaint.sh; 2019-01-02_17.58.35; 2610776; 788; 00:00:00:04
home; inst-std-graphic-xtra-cheese.sh; 2019-01-02_17.58.35; 2753484; 142708; 00:00:01:23
home; inst-std-help-manuals-html.sh; 2019-01-02_17.58.35; 2753560; 76; 00:00:00:00
home; inst-std-inet-firefox-esr.sh; 2019-01-02_17.58.35; 2955656; 202096; 00:00:00:14
home; inst-std-inet-xtra-00-google-chrome-fix.sh; 2019-01-02_17.58.35; 2955964; 308; 00:00:00:01
home; inst-std-inet-xtra-browser-plugin-downloadhelper-coapp.sh; 2019-01-02_17.58.35; 3048064; 92100; 00:00:00:06
home; inst-std-inet-xtra-google-chrome-keyring.sh; 2019-01-02_17.58.35; 3048080; 16; 00:00:00:01
home; inst-std-inet-xtra-google-chrome.sh; 2019-01-02_17.58.35; 3342712; 294632; 00:00:00:55
home; inst-std-inet-xtra-transmission-gtk.sh; 2019-01-02_17.58.35; 3346364; 3652; 00:00:00:08
home; inst-std-multimedia-00-debmultimedia-keyring.sh; 2019-01-02_17.58.35; 3346428; 64; 00:00:00:05
home; inst-std-multimedia-mpv.sh; 2019-01-02_17.58.35; 3371364; 24936; 00:00:00:18
home; inst-std-multimedia-xtra-ffmpeg.sh; 2019-01-02_17.58.35; 3375468; 4104; 00:00:00:03
home; inst-std-multimedia-xtra-sr-simplescreenrecorder.sh; 2019-01-02_17.58.35; 3409556; 34088; 00:00:00:10
home; inst-std-office-00-libreoffice-fix.sh; 2019-01-02_17.58.35; 3410044; 488; 00:00:00:00
home; inst-std-office-libreoffice-all.sh; 2019-01-02_17.58.35; 3899540; 489496; 00:00:02:36
home; inst-std-system-alsamixer.sh; 2019-01-02_17.58.35; 3899548; 8; 00:00:00:01
home; inst-std-system-conky.sh; 2019-01-02_17.58.35; 3901876; 2328; 00:00:00:05
home; inst-std-system-gnome-disk-utility.sh; 2019-01-02_17.58.35; 3906620; 4744; 00:00:00:12
home; inst-std-system-keyboard.sh; 2019-01-02_17.58.35; 3906628; 8; 00:00:00:01
home; inst-std-system-monitor-switcher-lxrandr.sh; 2019-01-02_17.58.35; 3940716; 34088; 00:00:00:11
home; inst-std-system-network-wicd.sh; 2019-01-02_17.58.35; 3952440; 11724; 00:00:00:23
home; inst-std-system-time-zone.sh; 2019-01-02_17.58.35; 3952444; 4; 00:00:00:01
home; inst-std-system-xtra-gsimplecal.sh; 2019-01-02_17.58.35; 3952588; 144; 00:00:00:02
home; inst-std-system-xtra-hardinfo.sh; 2019-01-02_17.58.35; 3953528; 940; 00:00:00:04
home; inst-std-system-xtra-tz-montreal.sh; 2019-01-02_17.58.35; 3953532; 4; 00:00:00:01
home; inst-std-xtra-blender.sh; 2019-01-02_17.58.35; 4288936; 335404; 00:00:00:55
home; inst-xtra-docker-ce.sh; 2019-01-02_17.58.35; 4295308; 6372; 00:00:00:13
home; inst-xtra-eclipse-libwebkitgtk-3.0-0.sh; 2019-01-02_17.58.35; 4355604; 60296; 00:00:00:19
home; inst-xtra-games-openttd.sh; 2019-01-02_17.58.35; 4408400; 52796; 00:00:00:13
home; inst-xtra-open-terminals-on-startup.sh; 2019-01-02_17.58.35; 4408420; 20; 00:00:00:01
home; inst-xtra-virtualbox.sh; 2019-01-02_17.58.35; 4668756; 260336; 00:00:00:58
home; inst-xtra-zfs-dkms.sh; 2019-01-02_17.58.35; 4955476; 286720; 00:00:15:36
home; inst-zclean-01-apt-get-00-clean-up.sh; 2019-01-02_17.58.35; 4076784; -878692; 00:00:00:01
home; inst-zclean-01-apt-get-01-source-list.sh; 2019-01-02_17.58.35; 4076792; 8; 00:00:00:01
home; inst-zclean-02-remove-block-services.sh; 2019-01-02_17.58.35; 4076792; 0; 00:00:00:01
home; inst-zclean-03-default-filemanager.sh; 2019-01-02_17.58.35; 4076796; 4; 00:00:00:01
home; inst-zclean-04-chmod-script.sh; 2019-01-02_17.58.35; 4076800; 4; 00:00:00:01
home; inst-zclean-98-zerosizing.sh; 2019-01-02_17.58.35; 3960928; -115872; 00:00:00:23
home; inst-zclean-99-end-cleanup.sh; 2019-01-02_17.58.35; 3960928; 0; 00:00:00:01
home; main.sh; 2019-01-02_19.20.40; 1000924; 1000924; 00:00:00:00
home; inst-min-con-00-apt-custom-repository.sh; 2019-01-02_19.20.40; 1004912; 3988; 00:00:00:07
home; inst-min-con-00-linux-image.sh; 2019-01-02_19.20.40; 1348268; 343356; 00:00:01:51
home; inst-min-con-01-apt-transport-https.sh; 2019-01-02_19.20.40; 1358756; 10488; 00:00:00:22
home; inst-min-con-01-apt.sh; 2019-01-02_19.20.40; 1358772; 16; 00:00:00:00
home; inst-min-con-01-debconf-utils.sh; 2019-01-02_19.20.40; 1358980; 208; 00:00:00:02
home; inst-min-con-02-locale.sh; 2019-01-02_19.20.40; 1379160; 20180; 00:00:00:14
home; inst-min-con-02-localepurge.sh; 2019-01-02_19.20.40; 1379904; 744; 00:00:00:05
home; inst-min-con-03-systemd-hooks.sh; 2019-01-02_19.20.40; 1379980; 76; 00:00:00:00
home; inst-min-con-04-block-services-start-postinstall.sh; 2019-01-02_19.20.40; 1379988; 8; 00:00:00:00
home; inst-min-con-auto-log-root.sh; 2019-01-02_19.20.40; 1380004; 16; 00:00:00:01
home; inst-min-con-cld-bashrc.sh; 2019-01-02_19.20.40; 1380036; 32; 00:00:00:00
home; inst-min-con-cld-bin.sh; 2019-01-02_19.20.40; 1380048; 12; 00:00:00:00
home; inst-min-con-cld-dev-tools-debootstrap.sh; 2019-01-02_19.20.40; 1380416; 368; 00:00:00:02
home; inst-min-con-cld-tools.sh; 2019-01-02_19.20.40; 1381752; 1336; 00:00:00:03
home; inst-min-con-compressors.sh; 2019-01-02_19.20.40; 1386284; 4532; 00:00:00:10
home; inst-min-con-dircolors.sh; 2019-01-02_19.20.40; 1386308; 24; 00:00:00:01
home; inst-min-con-filesystem-dosfstools.sh; 2019-01-02_19.20.40; 1386664; 356; 00:00:00:02
home; inst-min-con-filesystem-exfat.sh; 2019-01-02_19.20.40; 1387812; 1148; 00:00:00:23
home; inst-min-con-filesystem-hfsprogs.sh; 2019-01-02_19.20.40; 1388276; 464; 00:00:00:02
home; inst-min-con-filesystem-ntfs-3g.sh; 2019-01-02_19.20.40; 1390880; 2604; 00:00:00:34
home; inst-min-con-firmware-cpu.sh; 2019-01-02_19.20.40; 1395788; 4908; 00:00:00:37
home; inst-min-con-firmware-net-b43-installer.sh; 2019-01-02_19.20.40; 1433516; 37728; 00:00:00:06
