home; inst-min-con-net-tools.sh; 2019-05-19_16.22.15; 1569432; 860; 00:00:00:02
home; inst-min-con-xtra-macchanger.sh; 2019-05-19_16.22.15; 1918184; 896; 00:00:00:02
home; inst-std-system-xtra-hardinfo.sh; 2019-05-19_16.22.15; 3688160; 936; 00:00:00:04
home; inst-min-con-filesystem-exfat.sh; 2019-05-19_16.22.15; 1325436; 1156; 00:00:00:17
home; inst-min-win-menu.sh; 2019-05-19_16.22.15; 2713300; 1264; 00:00:00:03
home; inst-min-con-cld-tools.sh; 2019-05-19_16.22.15; 1319372; 1324; 00:00:00:03
home; inst-std-xtra-opw-php-xml.sh; 2019-05-19_16.22.15; 3692828; 1480; 00:00:00:08
home; inst-min-win-cld-win-split.sh; 2019-05-19_16.22.15; 2711968; 1500; 00:00:00:12
home; inst-min-con-xtra-curl.sh; 2019-05-19_16.22.15; 1735632; 1516; 00:00:00:03
home; inst-xtra-selenium-python-pip.sh; 2019-05-19_16.22.15; 3885648; 1608; 00:00:00:04
home; inst-min-con-pciutils.sh; 2019-05-19_16.22.15; 1581144; 1724; 00:00:00:03
home; inst-std-accessories-prtscr-gnome-screenshot.sh; 2019-05-19_16.22.15; 2852360; 1764; 00:00:00:07
home; inst-std-system-conky.sh; 2019-05-19_16.22.15; 3570968; 1796; 00:00:00:04
home; inst-std-xtra-opw-php-mbstring.sh; 2019-05-19_16.22.15; 3690636; 2012; 00:00:00:04
home; inst-xtra-atom.sh; 2019-05-19_16.22.15; 3695272; 2104; 00:00:00:05
home; inst-min-con-xtra-hd-smartmontools.sh; 2019-05-19_16.22.15; 1916652; 2312; 00:00:00:08
home; inst-std-accessories-feh.sh; 2019-05-19_16.22.15; 2850212; 2404; 00:00:00:06
home; inst-min-con-filesystem-ntfs-3g.sh; 2019-05-19_16.22.15; 1328496; 2604; 00:00:00:28
home; inst-std-font-fonts-liberation.sh; 2019-05-19_16.22.15; 2893280; 2972; 00:00:00:05
home; inst-min-con-ntp.sh; 2019-05-19_16.22.15; 1572580; 3148; 00:00:00:06
home; inst-std-inet-xtra-transmission-gtk.sh; 2019-05-19_16.22.15; 3459836; 3660; 00:00:00:07
home; inst-std-multimedia-xtra-ffmpeg.sh; 2019-05-19_16.22.15; 3534184; 4096; 00:00:00:03
home; inst-min-con-xtra-sqlite3.sh; 2019-05-19_16.22.15; 2433476; 4300; 00:00:00:03
home; inst-min-con-00-apt-custom-repository.sh; 2019-05-19_16.22.15; 931476; 4352; 00:00:00:08
home; inst-min-con-xtra-py-python3-pip.sh; 2019-05-19_16.22.15; 2429176; 4428; 00:00:00:09
home; inst-min-con-live-build-tools.sh; 2019-05-19_16.22.15; 1559768; 4472; 00:00:00:19
home; inst-min-con-compressors.sh; 2019-05-19_16.22.15; 1323896; 4524; 00:00:00:19
home; inst-std-system-gnome-disk-utility.sh; 2019-05-19_16.22.15; 3575696; 4728; 00:00:00:11
home; inst-min-con-xtra-pdf-poppler-utils.sh; 2019-05-19_16.22.15; 2245292; 5660; 00:00:00:04
home; inst-min-con-numlock.sh; 2019-05-19_16.22.15; 1579420; 6840; 00:00:00:12
home; inst-min-con-firmware-cpu.sh; 2019-05-19_16.22.15; 1335644; 7148; 00:00:00:57
home; inst-std-accessories-scite.sh; 2019-05-19_16.22.15; 2859972; 7612; 00:00:00:10
home; inst-min-con-udevil.sh; 2019-05-19_16.22.15; 1650408; 8024; 00:00:00:04
home; inst-min-con-mtp-jmtpfs.sh; 2019-05-19_16.22.15; 1568572; 8804; 00:00:00:12
home; inst-std-accessories-calc-qalculate-gtk.sh; 2019-05-19_16.22.15; 2847808; 10316; 00:00:00:08
home; inst-min-con-01-apt-transport-https.sh; 2019-05-19_16.22.15; 1296364; 10532; 00:00:00:22
home; inst-min-con-snd-alsa.sh; 2019-05-19_16.22.15; 1642384; 11904; 00:00:00:11
home; inst-xtra-graphviz.sh; 2019-05-19_16.22.15; 3884016; 15868; 00:00:00:11
home; inst-min-con-xtra-gnuplot-nox.sh; 2019-05-19_16.22.15; 1913908; 17148; 00:00:00:21
home; inst-min-con-xtra-php.sh; 2019-05-19_16.22.15; 2263316; 18024; 00:00:00:44
home; inst-min-con-02-locale.sh; 2019-05-19_16.22.15; 1316784; 20200; 00:00:00:20
home; inst-std-accessories-thunar.sh; 2019-05-19_16.22.15; 2890308; 30336; 00:00:00:50
home; inst-min-con-xtra-cld-dev-tools-aptly.sh; 2019-05-19_16.22.15; 1734116; 31828; 00:00:00:31
home; inst-std-system-monitor-switcher-lxrandr.sh; 2019-05-19_16.22.15; 3608400; 32700; 00:00:00:10
home; inst-std-multimedia-xtra-sr-simplescreenrecorder.sh; 2019-05-19_16.22.15; 3569164; 34980; 00:00:00:10
home; inst-min-con-firmware-net-b43-installer.sh; 2019-05-19_16.22.15; 1373372; 37728; 00:00:00:10
