7zip|25.01+dfsg-1~deb13u1
libcrypt1|1:4.4.38-1
libctf-nobfd0|2.44-3
libctf0|2.44-3
libcups2t64|2.4.10-3+deb13u2
libcurl3t64-gnutls|8.14.1-2+deb13u2
libcurl4t64|8.16.0-4~bpo13+1
libdatrie1|0.2.13-3+b1
libdav1d7|1:1.5.1-dmo1
libdb5.3t64|5.3.28+dfsg2-9
libdbi-perl|1.647-1
libdbus-1-3|1.16.2-2
libdconf1|0.40.0-5
libde265-0|1.0.15-1+b3
libdebconfclient0|0.280
libdecor-0-0|0.2.2-2
libdeflate0|1.23-2
libdevmapper1.02.1|2:1.02.205-2
libdialog15|1.3-20250116-1
libdrm-amdgpu1|2.4.124-2
libdrm-common|2.4.124-2
libdrm-intel1|2.4.124-2
libdrm-nouveau2|2.4.124-2
libdrm-radeon1|2.4.124-2
libdrm2|2.4.124-2
libedit2|3.1-20250104-1
libegl-mesa0|25.2.6-1~bpo13+1
libegl1|1.7.0-1+b2
libelf1t64|0.192-4
libencode-locale-perl|1.05-3
libepoxy0|1.5.10-2
libevdev2|1.13.4+dfsg-1
libevent-core-2.1-7t64|2.1.12-stable-10+b1
libexif12|0.6.25-1
libexpat1|2.7.1-2
libexpat1-dev|2.7.1-2
libext2fs2t64|1.47.2-3+b3
libfdisk1|2.41-5
libffi8|3.4.8-2
libfftw3-single3|3.3.10-2+b1
libfido2-1|1.15.0-1+b1
libfile-basedir-perl|0.09-2
libfile-desktopentry-perl|0.22-3
libfile-mimeinfo-perl|0.35-1
libflac14|1.5.0+ds-2
libfontconfig1|2.15.0-2.3
libfontenc1|1:1.1.8-1+b2
libfreetype6|2.13.3+dfsg-1
libfribidi0|1.0.16-1
libfuse2t64|2.9.9-9
libfuse3-4|3.17.2-3
libgav1-1|0.19.0-3+b1
libgbm1|25.2.6-1~bpo13+1
libgcc-14-dev|14.2.0-19
libgcc-s1|14.2.0-19
libgcrypt20|1.11.0-7
libgd3|2.3.3-13
libgdbm-compat4t64|1.24-2
libgdbm6t64|1.24-2
libgdk-pixbuf-2.0-0|2.42.12+dfsg-4
libgdk-pixbuf2.0-common|2.42.12+dfsg-4
libgif7|5.2.2-1+b1
libgit2-1.9|1.9.0+ds-2
libgl1|1.7.0-1+b2
libgl1-mesa-dri|25.2.6-1~bpo13+1
libglib2.0-0t64|2.84.4-3~deb13u1
libglvnd0|1.7.0-1+b2
libglx-mesa0|25.2.6-1~bpo13+1
libglx0|1.7.0-1+b2
libgmp10|2:6.3.0+dfsg-3
libgnutls30t64|3.8.9-3
libgomp1|14.2.0-19
libgpg-error0|1.51-4
libgpgme11t64|1.24.2-3
libgpgmepp6t64|1.24.2-3
libgprofng0|2.44-3
libgraphics-magick-perl|1.4+really1.3.45+hg17696-1
libgraphicsmagick-q16-3t64|1.4+really1.3.45+hg17696-1
libgraphite2-3|1.3.14-2+b1
libgs-common|10.05.1~dfsg-1+deb13u1
libgs10|10.05.1~dfsg-1+deb13u1
libgs10-common|10.05.1~dfsg-1+deb13u1
libgssapi-krb5-2|1.21.3-5
libgudev-1.0-0|238-6
libharfbuzz0b|10.2.0-1+b1
libheif-plugin-dav1d|1.19.8-1
libheif-plugin-libde265|1.19.8-1
libheif1|1.19.8-1
libhogweed6t64|3.10.1-1
libhttp-parser2.9|2.9.4-6+b2
libhwasan0|14.2.0-19
libhwy1t64|1.2.0-2+b2
libice6|2:1.1.1-1
libicu76|76.1-4
libid3tag0|0.16.3-1
libidn12|1.43-1
libidn2-0|2.3.8-2
libijs-0.35|0.35-15.2
libimagequant0|2.18.0-1+b2
libimlib2t64|1.12.4-2
libinline-c-perl|0.82-2
libinline-perl|0.86-2
libinput-bin|1.28.1-1
libinput10|1.28.1-1
libipc-system-simple-perl|1.30-2
libisl23|0.27-1
libisoburn1t64|1.5.6-1.2+b1
libisofs6t64|1.5.6.pl01-1.1+b1
libitm1|14.2.0-19
libjansson4|2.14-2+b3
libjbig0|2.1-6.1+b2
libjbig2dec0|0.20-1+b3
libjemalloc2|5.3.0-3
libjpeg62-turbo|1:2.1.5-4
libjs-jquery|3.6.1+dfsg+~3.5.14-1
libjs-sphinxdoc|8.1.3-5
libjs-underscore|1.13.4~dfsg+~1.11.4-3
libjsoncpp26|1.9.6-3
libjte2|1.22-4+b2
libjxl0.11|0.11.1-4
libk5crypto3|1.21.3-5
libkeyutils1|1.6.3-6
libklibc|2.0.14-1
libkmod2|34.2-2
libkrb5-3|1.21.3-5
libkrb5support0|1.21.3-5
libksba8|1.6.7-2+b1
liblastlog2-2|2.41-5
liblcms2-2|2.16-2
libldap2|2.6.10+dfsg-1
libldb2|2:2.11.0+samba4.23.3+dfsg-1~bpo13+1
liblerc4|4.0.0+ds-5
liblinear4|2.3.0+dfsg-5+b2
libllvm19|1:19.1.7-3+b1
liblmdb0|0.9.31-1+b2
liblocale-gettext-perl|1.07-7+b1
liblsan0|14.2.0-19
liblsof0|4.99.4+dfsg-2
liblua5.4-0|5.4.7-1+b2
liblz4-1|1.10.0-4
liblzma5|5.8.1-1
liblzo2-2|2.10-3+b1
libmagic-mgc|1:5.46-5
libmagic1t64|1:5.46-5
libmariadb3|1:11.8.3-0+deb13u1
libmbedcrypto16|3.6.4-2
libmbedtls21|3.6.4-2
libmbedx509-7|3.6.4-2
libmd0|1.1.0-2+b1
libmm-glib0|1.24.0-1+deb13u1
libmnl0|1.0.5-3
libmount1|2.41-5
libmp3lame0|1:3.100-dmo3
libmpc3|1.3.1-1+b3
libmpfr6|4.2.2-1
libmpg123-0t64|1.32.10-1
libmtdev1t64|1.1.7-1
libmtp-common|1.1.22-1
libmtp9t64|1.1.22-1
libncurses6|6.5+20250216-2
libncursesw6|6.5+20250216-2
libndp0|1.9-1+b1
libnettle8t64|3.10.1-1
libnewt0.52|0.52.25-1
libnfsidmap1|1:2.8.3-1
libnftables1|1.1.3-1
libnftnl11|1.2.9-1
libnghttp2-14|1.64.0-1.1
libnghttp3-9|1.12.0-1~bpo13+1
libngtcp2-16|1.16.0-1~bpo13+2
libngtcp2-crypto-gnutls8|1.16.0-1~bpo13+2
libngtcp2-crypto-ossl0|1.16.0-1~bpo13+2
libnl-3-200|3.7.0-2
libnl-genl-3-200|3.7.0-2
libnl-route-3-200|3.7.0-2
libnm0|1.52.1-1
libnpth0t64|1.8-3
libnspr4|2:4.36-1
libnss3|2:3.110-1
libntfs-3g89t64|1:2022.10.3-5
libnuma1|2.0.19-1
libogg0|1.3.5-3+b2
libopenjp2-7|2.5.3-2.1~deb13u1
libopus0|1.5.2-2
libp11-kit0|0.25.5-3
libpam-modules|1.7.0-5
libpam-modules-bin|1.7.0-5
libpam-runtime|1.7.0-5
libpam-systemd|257.9-1~deb13u1
libpam0g|1.7.0-5
libpango-1.0-0|1.56.3-1
libpangocairo-1.0-0|1.56.3-1
libpangoft2-1.0-0|1.56.3-1
libpaper2|2.2.5-0.3+b2
libparse-recdescent-perl|1.967015+dfsg-4
libparted2t64|3.6-5
libpcap0.8t64|1.10.5-2
libpci3|1:3.13.0-2
libpciaccess0|0.17-3+b3
libpcre2-8-0|10.46-1~deb13u1
libpcre2-posix3|10.46-1~deb13u1
libpcsclite1|2.3.3-1
libpegex-perl|0.75-2
libperl5.40|5.40.1-6
libpixman-1-0|0.44.0-3
libpng16-16t64|1.6.48-1
libpoppler147|25.03.0-5+deb13u2
libpopt0|1.19+dfsg-2
libproc2-0|2:4.0.4-9
libpsl5t64|0.21.2-1.1+b1
libpulse0|17.0+dfsg1-2+b1
libpython3-dev|3.13.5-1
libpython3-stdlib|3.13.5-1
libpython3.13|3.13.5-2
libpython3.13-dev|3.13.5-2
libpython3.13-minimal|3.13.5-2
libpython3.13-stdlib|3.13.5-2
libquadmath0|14.2.0-19
librav1e0.7|0.7.1-9+b2
libreadline8t64|8.2-6
libreiserfscore0t64|1:3.6.27-9
librhash1|1.4.5-1
librsvg2-2|2.60.0+dfsg-1
librtmp1|2.4+20151223.gitfa8646d.1-2+b5
libsamplerate0|0.2.2-4+b2
libsasl2-2|2.1.28+dfsg1-9
libsasl2-modules-db|2.1.28+dfsg1-9
libsdl2-2.0-0|2.32.4+dfsg-1
libseccomp2|2.6.0-2
libselinux1|3.8.1-1
libsemanage-common|3.8.1-1
libsemanage2|3.8.1-1
libsensors-config|1:3.6.2-2
libsensors5|1:3.6.2-2
libsepol2|3.8.1-1
libsframe1|2.44-3
libsharpyuv0|1.5.0-0.1
libsigsegv2|2.14-1+b2
libslang2|2.3.3-5+b2
libsm6|2:1.2.6-1
libsmartcols1|2.41-5
libsmbclient0|2:4.23.3+dfsg-1~bpo13+1
libsndfile1|1.2.2-2+b1
libsodium23|1.0.18-1+b2
libspectre1|0.2.12-1+b2
libsqlite3-0|3.46.1-7
libss2|1.47.2-3+b3
libssh2-1t64|1.11.1-1
libssl3t64|3.5.4-1~deb13u1
libstdc++6|14.2.0-19
libsvtav1enc2|2.3.0+dfsg-1
libsystemd-shared|257.9-1~deb13u1
libsystemd0|257.9-1~deb13u1
libtalloc2|2:2.4.3+samba4.23.3+dfsg-1~bpo13+1
libtasn1-6|4.20.0-2
libtdb1|2:1.4.14+samba4.23.3+dfsg-1~bpo13+1
libteamdctl0|1.31-1+b2
libtevent0t64|2:0.17.1+samba4.23.3+dfsg-1~bpo13+1
libtext-charwidth-perl|0.04-11+b4
libtext-iconv-perl|1.7-8+b4
libtext-wrapi18n-perl|0.06-10
libthai-data|0.1.29-2
libthai0|0.1.29-2+b1
libtiff6|4.7.0-3+deb13u1
libtinfo6|6.5+20250216-2
libtirpc-common|1.3.6+ds-1
libtirpc3t64|1.3.6+ds-1
libtsan2|14.2.0-19
libu2f-udev|1.1.10-3.2
libubsan1|14.2.0-19
libudev1|257.9-1~deb13u1
libunistring5|1.3-2
libunwind8|1.8.1-0.1
liburi-perl|5.30-1
liburing2|2.9-1
libusb-1.0-0|2:1.0.28-1
libuuid1|2.41-5
libuv1t64|1.50.0-2
libvmaf3|3.0.0-dmo4
libvorbis0a|1.3.7-3
libvorbisenc2|1.3.7-3
libvulkan1|1.4.309.0-1
libwacom-common|2.14.0-1
libwacom9|2.14.0-1
libwayland-client0|1.23.1-3
libwayland-cursor0|1.23.1-3
